终于学到数组项目计划表,,,,,
时间,计划安排(预计的项目流程),实际进度(项目会议记录),,,
,,到场情况(迟到/旷会说明原因),当前任务完成情况,会议内容和任务安排,遇到的问题及是否解决(解决方案)
举例,,"到场: 张三, 李四, 王五
迟到: 赵六
请假: 铁蛋(学校安排考试)
旷会: 二狗(喝假酒住院, 在医院输液)","张三李四王五: 提交了需求文档
赵六: 需求文档编辑中, 预计今晚9点提交","会议内容: 
小组内开会讨论了需求文档内容, 并且完成定档. 预计明天上午组长整理后提交给小学长
任务:
内容: 设计功能流程图
截止时间: 明天晚上8点
负责人: 全员
提交方式: 私信发给张三(命名格式: [昵称]-功能流程图.jpg)","不确定贪吃蛇的隐身功能是否能实现: 联系小学长询问后表示可以实现

铁蛋的easyx技术没学完, 后两天考试没时间:
安排王五和赵六学easyx

不知道单元格怎么换行: 联系小学长后get新知识: alt+回车"
2025/7/31,"直播: 团队项目流程培训
小组会议内容: 根据之前安排的立项任务, 讨论并确定项目选题, 安排可行性分析任务
任务: 安排可行性分析任务:
根据自己对项目的理解, 设计技术可行性文档 明天晚上开会讨论定档可行性分析",会议到场情况(迟到/旷会需要说明原因),"当前进度
(参考进度: 讨论定档可行性分析)","会议内容和任务安排
(项目定档, 安排可行性分析任务)",遇到的问题及是否解决(解决方案)
,,"到场: 小西瓜，衔鱼，李叫，阿飘，小元，阿通，Itachi，小天
迟到: 无
请假: 小占（外出有事）
旷会:无",暂无提交文档,"[会议内容]:可行性分析
[任务]:安排可行性分析，明天汇总
内容:完成可行性分析
截止时间:2025年8月1日晚22：00
负责人:组长
提交方式: [项目名]-[小组名]-可行性分析.zip
-[组员昵称]-可行性分析.txt/doc
-定档可行性分析.txt/doc",无
2025/8/1,"小组会议内容: 屏幕共享, 展示目前完成的可行性分析, 并且讨论定档.
任务: 设计准备: 
每个人想一想项目的拓展想法等等.为后面设计阶段要完成需求文档做准备
技术准备:
还没达到学习要求进度(基础进度/额外进度)的同学, 安排好学习时间, 尽快达到要求.",会议到场情况(迟到/旷会需要说明原因),"当前进度
(参考进度: 讨论定档可行性分析)","会议内容和任务安排
(讨论确定可行性分析的内容
准备项目操作流程/功能/拓展想法等等, 明天晚上开始项目设计)",遇到的问题及是否解决(解决方案)
,,"到场: 衔鱼，小元，阿通，ltachi
迟到: 无
请假: 小西瓜(外出有事)
李叫（家中有事）
阿飘（外出有事）
小天（考试）
小占外出有事

旷会:无",定档可行性分析,"[会议内容]:
可行性分析部分内容的敲定
[任务]:
内容:讨论可行性分析的部分细节
截止时间:2025年8月1日晚22：00
负责人:衔鱼
提交方式: [项目名]-[小组名]-可行性分析.zip
-[组员昵称]-可行性分析.txt/doc
-定档可行性分析.txt/doc",无
2025/8/2,"直播：产品设计
小组会议内容: 讨论项目的大致功能及细节
任务: 根据今天直播内容, 每个人做一份需求文档, 明天会议中展示每个人的需求文档 并且讨论定档",会议到场情况(迟到/旷会需要说明原因),"当前进度
(完成立项阶段任务: 两份项目表格+可行性分析审核通过)","会议内容和任务安排
(每个组员 按自己对项目的理解和直播要求格式, 设计需求文档)",遇到的问题及是否解决(解决方案)
,,"到场:衔鱼，小占，小元，阿通，ltachi，李叫，阿飘
迟到: 无
请假: 小西瓜（外出有事）小天（考试）
旷会:无",可行性分析通过,"[会议内容]:需求分析相关
[任务]:需求分析的确定
内容:安排具体讨论时间，确定完成细节
截止时间:8.3晚十点
负责人:衔鱼
提交方式:定稿后组长交给小学长",无
2025/8/3,"小组会议内容: 产品经理屏幕共享 展示每个人的需求文档, 和大家讨论整理需求文档内容 定档需求文档
任务: 安排组员制作功能流程图和产品原型图",会议到场情况(迟到/旷会需要说明原因),"当前进度
(讨论定档需求文档)","会议内容和任务安排
(讨论定档需求文档
每个组员 按定档的需求文档和自己对项目的理解, 设计功能流程图
部分组员设计产品原型图)",遇到的问题及是否解决(解决方案)
,,"到场: 小西瓜，衔鱼，小元，小占，ltachi，阿通，李叫，阿飘，小天
迟到: 无
请假:小天（考试）
旷会:无",需求文档已定档,"[会议内容]:需求分析定档
[任务]:讨论需求文档的相关细节安排
内容:补充需求分析细节，完成最终结果的确定
截止时间:8.4中午十二点
负责人:衔鱼
提交方式:定稿后由组长交给小学长",无
2025/8/4,"小组会议内容: 产品经理屏幕共享 讨论整理流程图原型图 定档设计阶段资料
统计额外技术学习情况, 确认小组技术水平
任务: 细节补充:
如游戏数值/规则的设计, 准备音乐/图片素材, 界面布局的实际尺寸.",会议到场情况(迟到/旷会需要说明原因),"当前进度
(讨论定档流程图/原型图)","会议内容和任务安排
(讨论定档流程图和原型图
统计额外技术的学习情况
如果有需要: 安排数值/规则/素材/界面布局相关的任务)",遇到的问题及是否解决(解决方案)
